0,0.500000,-0.752583,0.000000,1.000000
1,0.750000,-0.309814,0.500000,1.000000
2,0.875000,0.028925,0.750000,1.000000
3,0.812500,-0.151309,0.750000,0.875000
4,0.843750,-0.063988,0.812500,0.875000
5,0.859375,-0.018241,0.843750,0.875000
6,0.867188,0.005164,0.859375,0.875000
7,0.863281,-0.006583,0.859375,0.867188
8,0.865234,-0.000721,0.863281,0.867188
9,0.866211,0.002219,0.865234,0.867188
10,0.865723,0.000749,0.865234,0.866211
11,0.865479,0.000013,0.865234,0.865723
12,0.865356,-0.000354,0.865234,0.865479
13,0.865417,-0.000170,0.865356,0.865479
14,0.865448,-0.000078,0.865417,0.865479
15,0.865463,-0.000032,0.865448,0.865479
16,0.865471,-0.000009,0.865463,0.865479
17,0.865475,0.000002,0.865471,0.865479
18,0.865473,-0.000004,0.865471,0.865475
19,0.865474,-0.000001,0.865473,0.865475
